"Ttot_PMMApaint_CaCO3_15vv - RawData"
"Wavelength nm.","T%"
614.00,9.362
615.00,9.365
616.00,9.372
617.00,9.385
618.00,9.399
619.00,9.393
620.00,9.401
621.00,9.392
622.00,9.398
623.00,9.404
624.00,9.421
625.00,9.437
626.00,9.448
627.00,9.450
628.00,9.455
629.00,9.453
630.00,9.449
631.00,9.441
632.00,9.448
633.00,9.455
634.00,9.450
635.00,9.441
636.00,9.454
637.00,9.468
638.00,9.484
639.00,9.480
640.00,9.488
641.00,9.485
642.00,9.493
643.00,9.498
644.00,9.496
645.00,9.500
646.00,9.492
647.00,9.506
648.00,9.500
649.00,9.505
650.00,9.503
651.00,9.510
652.00,9.519
653.00,9.526
654.00,9.539
655.00,9.544
656.00,9.559
657.00,9.571
658.00,9.576
659.00,9.569
660.00,9.551
661.00,9.557
662.00,9.573
663.00,9.589
664.00,9.597
665.00,9.577
666.00,9.569
667.00,9.552
668.00,9.569
669.00,9.576
670.00,9.587
671.00,9.586
672.00,9.586
673.00,9.595
674.00,9.593
675.00,9.592
676.00,9.588
677.00,9.593
678.00,9.588
679.00,9.596
680.00,9.600
681.00,9.612
682.00,9.605
683.00,9.601
684.00,9.601
685.00,9.618
686.00,9.633
687.00,9.636
688.00,9.633
689.00,9.625
690.00,9.647
691.00,9.653
692.00,9.649
693.00,9.633
694.00,9.620
695.00,9.639
696.00,9.650
697.00,9.666
698.00,9.657
699.00,9.651
700.00,9.650
701.00,9.645
702.00,9.640
703.00,9.626
704.00,9.621
705.00,9.641
706.00,9.658
707.00,9.675
708.00,9.665
709.00,9.655
710.00,9.646
711.00,9.653
712.00,9.668
713.00,9.657
714.00,9.667
715.00,9.649
716.00,9.676
717.00,9.666
718.00,9.665
719.00,9.663
720.00,9.656
721.00,9.681
722.00,9.694
723.00,9.707
724.00,9.677
725.00,9.676
726.00,9.677
727.00,9.704
728.00,9.686
729.00,9.676
730.00,9.680
731.00,9.702
732.00,9.707
733.00,9.706
734.00,9.692
735.00,9.707
736.00,9.703
737.00,9.703
738.00,9.692
739.00,9.686
740.00,9.692
741.00,9.675
742.00,9.689
743.00,9.678
744.00,9.708
745.00,9.712
746.00,9.704
747.00,9.675
748.00,9.669
749.00,9.691
750.00,9.725
751.00,9.729
752.00,9.718
753.00,9.725
754.00,9.746
755.00,9.759
756.00,9.744
757.00,9.692
758.00,9.676
759.00,9.693
760.00,9.724
761.00,9.717
762.00,9.691
763.00,9.673
764.00,9.700
765.00,9.724
766.00,9.769
767.00,9.749
768.00,9.730
769.00,9.736
770.00,9.781
771.00,9.762
772.00,9.745
773.00,9.721
774.00,9.745
775.00,9.723
776.00,9.699
777.00,9.692
778.00,9.701
779.00,9.753
780.00,9.785
781.00,9.767
782.00,9.736
783.00,9.722
784.00,9.740
785.00,9.709
786.00,9.685
787.00,9.643
788.00,9.652
789.00,9.664
790.00,9.698
791.00,9.690
792.00,9.693
793.00,9.705
794.00,9.746
795.00,9.725
796.00,9.707
797.00,9.685
798.00,9.705
799.00,9.712
800.00,9.678
801.00,9.680
802.00,9.678
803.00,9.747
804.00,9.696
805.00,9.692
806.00,9.695
807.00,9.738
808.00,9.771
809.00,9.711
810.00,9.747
811.00,9.677
812.00,9.683
813.00,9.655
814.00,9.709
815.00,9.745
816.00,9.786
817.00,9.768
818.00,9.737
819.00,9.663
820.00,9.684
821.00,9.708
822.00,9.711
823.00,9.727
824.00,9.758
825.00,9.783
826.00,9.708
827.00,9.693
828.00,9.694
829.00,9.766
830.00,9.694
831.00,9.576
832.00,9.468
833.00,9.463
834.00,9.467
835.00,9.478
836.00,9.497
837.00,9.526
838.00,9.509
839.00,9.490
840.00,9.485
841.00,9.484
842.00,9.462
843.00,9.489
844.00,9.502
845.00,9.504
846.00,9.465
847.00,9.465
848.00,9.446
849.00,9.472
850.00,9.430
851.00,9.445
852.00,9.476
853.00,9.543
854.00,9.517
855.00,9.485
856.00,9.490
857.00,9.519
858.00,9.545
859.00,9.483
860.00,9.447
861.00,9.367
862.00,9.398
863.00,9.404
864.00,9.467
865.00,9.453
866.00,9.473
867.00,9.438
868.00,9.470
869.00,9.490
870.00,9.519
871.00,9.486
872.00,9.468
873.00,9.450
874.00,9.458
875.00,9.476
876.00,9.502
877.00,9.477
878.00,9.475
879.00,9.439
880.00,9.490
881.00,9.446
882.00,9.466
883.00,9.459
884.00,9.509
885.00,9.514
886.00,9.484
887.00,9.473
888.00,9.481
889.00,9.491
890.00,9.518
891.00,9.495
892.00,9.526
893.00,9.461
894.00,9.547
895.00,9.531
896.00,9.582
897.00,9.478
898.00,9.464
899.00,9.459
900.00,9.457
901.00,9.486
902.00,9.513
903.00,9.537
904.00,9.522
905.00,9.489
906.00,9.534
907.00,9.535
908.00,9.523
909.00,9.502
910.00,9.460
911.00,9.549
912.00,9.535
913.00,9.583
914.00,9.537
915.00,9.516
916.00,9.490
917.00,9.445
918.00,9.476
919.00,9.516
920.00,9.536
921.00,9.532
922.00,9.553
923.00,9.568
924.00,9.562
925.00,9.537
926.00,9.510
927.00,9.535
928.00,9.522
929.00,9.533
930.00,9.541
931.00,9.566
932.00,9.570
933.00,9.558
934.00,9.548
935.00,9.546
936.00,9.550
937.00,9.573
938.00,9.588
939.00,9.578
940.00,9.563
941.00,9.580
942.00,9.604
943.00,9.605
944.00,9.603
945.00,9.583
946.00,9.606
947.00,9.603
948.00,9.615
949.00,9.586
950.00,9.565
951.00,9.584
952.00,9.595
953.00,9.596
954.00,9.597
955.00,9.613
956.00,9.654
957.00,9.642
958.00,9.628
959.00,9.638
960.00,9.661
961.00,9.650
962.00,9.639
963.00,9.623
964.00,9.640
965.00,9.634
966.00,9.647
967.00,9.641
968.00,9.674
969.00,9.666
970.00,9.679
971.00,9.663
972.00,9.686
973.00,9.688
974.00,9.702
975.00,9.708
976.00,9.727
977.00,9.711
978.00,9.701
979.00,9.701
980.00,9.719
981.00,9.711
982.00,9.702
983.00,9.695
984.00,9.695
985.00,9.701
986.00,9.706
987.00,9.722
988.00,9.715
989.00,9.716
990.00,9.718
991.00,9.711
992.00,9.703
993.00,9.740
994.00,9.755
995.00,9.776
996.00,9.725
997.00,9.752
998.00,9.750
999.00,9.755
1000.00,9.733
1001.00,9.730
1002.00,9.733
1003.00,9.728
1004.00,9.741
1005.00,9.777
1006.00,9.782
1007.00,9.769
1008.00,9.751
1009.00,9.742
1010.00,9.758
1011.00,9.748
1012.00,9.765
1013.00,9.752
1014.00,9.757
1015.00,9.765
1016.00,9.780
1017.00,9.800
1018.00,9.807
1019.00,9.781
1020.00,9.773
1021.00,9.793
1022.00,9.815
1023.00,9.820
1024.00,9.780
1025.00,9.777
1026.00,9.781
1027.00,9.810
1028.00,9.812
1029.00,9.819
1030.00,9.808
1031.00,9.832
1032.00,9.833
1033.00,9.846
1034.00,9.827
1035.00,9.806
1036.00,9.784
1037.00,9.785
1038.00,9.796
1039.00,9.814
1040.00,9.828
1041.00,9.823
1042.00,9.829
1043.00,9.802
1044.00,9.826
1045.00,9.834
1046.00,9.856
1047.00,9.856
1048.00,9.858
1049.00,9.872
1050.00,9.847
1051.00,9.831
1052.00,9.823
1053.00,9.844
1054.00,9.854
1055.00,9.882
1056.00,9.903
1057.00,9.938
1058.00,9.882
1059.00,9.875
1060.00,9.848
1061.00,9.889
1062.00,9.894
1063.00,9.906
1064.00,9.920
1065.00,9.918
1066.00,9.932
1067.00,9.924
1068.00,9.923
1069.00,9.928
1070.00,9.934
1071.00,9.960
1072.00,9.964
1073.00,9.994
1074.00,9.979
1075.00,9.965
1076.00,9.959
1077.00,9.973
1078.00,9.997
1079.00,9.986
1080.00,9.993
1081.00,9.999
1082.00,10.001
1083.00,9.991
1084.00,9.987
1085.00,9.999
1086.00,10.013
1087.00,10.012
1088.00,10.023
1089.00,10.015
1090.00,10.033
1091.00,10.016
1092.00,10.026
1093.00,10.012
1094.00,10.042
1095.00,10.037
1096.00,10.059
1097.00,10.055
1098.00,10.069
1099.00,10.056
1100.00,10.050
1101.00,10.050
1102.00,10.054
1103.00,10.029
1104.00,10.043
1105.00,10.038
1106.00,10.090
1107.00,10.096
1108.00,10.126
1109.00,10.101
1110.00,10.089
1111.00,10.059
1112.00,10.065
1113.00,10.078
1114.00,10.083
1115.00,10.094
1116.00,10.100
1117.00,10.098
1118.00,10.079
1119.00,10.057
1120.00,10.070
1121.00,10.071
1122.00,10.078
1123.00,10.077
1124.00,10.085
1125.00,10.070
1126.00,10.030
1127.00,9.997
1128.00,9.963
1129.00,9.939
1130.00,9.916
1131.00,9.884
1132.00,9.886
1133.00,9.854
1134.00,9.826
1135.00,9.766
1136.00,9.701
1137.00,9.678
1138.00,9.636
1139.00,9.630
1140.00,9.581
1141.00,9.557
1142.00,9.521
1143.00,9.504
1144.00,9.516
1145.00,9.561
1146.00,9.612
1147.00,9.648
1148.00,9.681
1149.00,9.715
1150.00,9.749
1151.00,9.750
1152.00,9.784
1153.00,9.826
1154.00,9.872
1155.00,9.927
1156.00,9.959
1157.00,10.026
1158.00,10.062
1159.00,10.076
1160.00,10.100
1161.00,10.099
1162.00,10.143
1163.00,10.152
1164.00,10.192
1165.00,10.202
1166.00,10.209
1167.00,10.191
1168.00,10.198
1169.00,10.204
1170.00,10.204
1171.00,10.233
1172.00,10.230
1173.00,10.253
1174.00,10.232
1175.00,10.240
1176.00,10.229
1177.00,10.216
1178.00,10.223
1179.00,10.250
1180.00,10.271
1181.00,10.252
1182.00,10.229
1183.00,10.229
1184.00,10.247
1185.00,10.229
1186.00,10.188
1187.00,10.170
1188.00,10.156
1189.00,10.188
1190.00,10.181
1191.00,10.189
1192.00,10.155
1193.00,10.157
1194.00,10.158
1195.00,10.168
1196.00,10.174
1197.00,10.165
1198.00,10.169
1199.00,10.162
1200.00,10.184
1201.00,10.202
1202.00,10.195
1203.00,10.185
1204.00,10.179
1205.00,10.189
1206.00,10.214
1207.00,10.215
1208.00,10.237
1209.00,10.254
1210.00,10.266
1211.00,10.270
1212.00,10.264
1213.00,10.286
1214.00,10.317
1215.00,10.334
1216.00,10.336
1217.00,10.336
1218.00,10.345
1219.00,10.378
1220.00,10.416
1221.00,10.455
1222.00,10.441
1223.00,10.418
1224.00,10.416
1225.00,10.468
1226.00,10.492
1227.00,10.476
1228.00,10.474
1229.00,10.475
1230.00,10.522
1231.00,10.540
1232.00,10.581
1233.00,10.557
1234.00,10.555
1235.00,10.570
1236.00,10.602
1237.00,10.618
1238.00,10.602
1239.00,10.601
1240.00,10.578
1241.00,10.595
1242.00,10.620
1243.00,10.611
1244.00,10.593
1245.00,10.569
1246.00,10.574
1247.00,10.580
1248.00,10.598
1249.00,10.639
1250.00,10.651
1251.00,10.657
1252.00,10.683
1253.00,10.711
1254.00,10.759
1255.00,10.747
1256.00,10.741
1257.00,10.727
1258.00,10.736
1259.00,10.737
1260.00,10.720
1261.00,10.716
1262.00,10.737
1263.00,10.734
1264.00,10.740
1265.00,10.740
1266.00,10.790
1267.00,10.805
1268.00,10.811
1269.00,10.784
1270.00,10.766
1271.00,10.773
1272.00,10.775
1273.00,10.786
1274.00,10.765
1275.00,10.770
1276.00,10.796
1277.00,10.821
1278.00,10.839
1279.00,10.838
1280.00,10.858
1281.00,10.882
1282.00,10.898
1283.00,10.902
1284.00,10.904
1285.00,10.892
1286.00,10.898
1287.00,10.892
1288.00,10.916
1289.00,10.917
1290.00,10.895
1291.00,10.886
1292.00,10.893
1293.00,10.926
1294.00,10.943
1295.00,10.935
1296.00,10.950
1297.00,10.968
1298.00,10.978
1299.00,10.966
1300.00,10.936
1301.00,10.957
1302.00,10.972
1303.00,10.993
1304.00,10.981
1305.00,10.981
1306.00,10.948
1307.00,10.998
1308.00,10.998
1309.00,11.042
1310.00,11.013
1311.00,11.018
1312.00,11.022
1313.00,11.024
1314.00,11.030
1315.00,11.016
1316.00,11.017
1317.00,11.007
1318.00,11.070
1319.00,11.083
1320.00,11.129
1321.00,11.117
1322.00,11.118
1323.00,11.127
1324.00,11.141
1325.00,11.212
1326.00,11.194
1327.00,11.133
1328.00,11.085
1329.00,11.081
1330.00,11.161
1331.00,11.188
1332.00,11.204
1333.00,11.192
1334.00,11.157
1335.00,11.201
1336.00,11.181
1337.00,11.216
1338.00,11.172
1339.00,11.223
1340.00,11.211
1341.00,11.261
1342.00,11.261
1343.00,11.261
1344.00,11.230
1345.00,11.230
1346.00,11.264
1347.00,11.303
1348.00,11.302
1349.00,11.284
1350.00,11.268
1351.00,11.268
1352.00,11.299
1353.00,11.303
1354.00,11.324
1355.00,11.321
1356.00,11.313
1357.00,11.324
1358.00,11.297
1359.00,11.325
1360.00,11.328
1361.00,11.341
1362.00,11.348
1363.00,11.353
1364.00,11.357
1365.00,11.358
1366.00,11.361
1367.00,11.401
1368.00,11.400
1369.00,11.395
1370.00,11.338
1371.00,11.310
1372.00,11.306
1373.00,11.309
1374.00,11.293
1375.00,11.277
1376.00,11.277
1377.00,11.312
1378.00,11.321
1379.00,11.353
1380.00,11.350
1381.00,11.370
1382.00,11.351
1383.00,11.306
1384.00,11.253
1385.00,11.226
1386.00,11.268
1387.00,11.303
1388.00,11.325
1389.00,11.366
1390.00,11.348
1391.00,11.344
1392.00,11.268
1393.00,11.255
1394.00,11.284
1395.00,11.298
1396.00,11.305
1397.00,11.265
1398.00,11.252
1399.00,11.252
1400.00,11.266
