"Rtot_MezclaToluenoCaCO3 - RawData"
"Wavelength nm.","R%"
615.00,70.989
616.00,70.992
617.00,70.963
618.00,70.933
619.00,70.857
620.00,70.833
621.00,70.786
622.00,70.823
623.00,70.774
624.00,70.750
625.00,70.574
626.00,70.526
627.00,70.520
628.00,70.534
629.00,70.538
630.00,70.471
631.00,70.447
632.00,70.424
633.00,70.335
634.00,70.326
635.00,70.282
636.00,70.281
637.00,70.231
638.00,70.151
639.00,70.164
640.00,70.082
641.00,70.022
642.00,69.933
643.00,69.908
644.00,69.911
645.00,69.839
646.00,69.819
647.00,69.774
648.00,69.746
649.00,69.682
650.00,69.637
651.00,69.598
652.00,69.519
653.00,69.448
654.00,69.440
655.00,69.417
656.00,69.445
657.00,69.414
658.00,69.438
659.00,69.366
660.00,69.310
661.00,69.189
662.00,69.096
663.00,69.051
664.00,69.069
665.00,69.081
666.00,69.064
667.00,69.016
668.00,68.972
669.00,68.956
670.00,68.941
671.00,68.876
672.00,68.823
673.00,68.810
674.00,68.841
675.00,68.768
676.00,68.713
677.00,68.677
678.00,68.542
679.00,68.492
680.00,68.415
681.00,68.449
682.00,68.366
683.00,68.255
684.00,68.208
685.00,68.146
686.00,68.090
687.00,68.092
688.00,68.114
689.00,68.175
690.00,68.177
691.00,68.113
692.00,68.051
693.00,67.878
694.00,67.862
695.00,67.779
696.00,67.809
697.00,67.784
698.00,67.724
699.00,67.662
700.00,67.679
701.00,67.709
702.00,67.736
703.00,67.593
704.00,67.549
705.00,67.480
706.00,67.397
707.00,67.331
708.00,67.191
709.00,67.175
710.00,67.132
711.00,67.111
712.00,67.100
713.00,67.090
714.00,67.112
715.00,66.997
716.00,66.978
717.00,66.958
718.00,66.959
719.00,66.816
720.00,66.767
721.00,66.735
722.00,66.780
723.00,66.741
724.00,66.707
725.00,66.582
726.00,66.465
727.00,66.429
728.00,66.381
729.00,66.332
730.00,66.247
731.00,66.235
732.00,66.280
733.00,66.231
734.00,66.228
735.00,66.145
736.00,66.101
737.00,66.054
738.00,66.004
739.00,66.017
740.00,65.990
741.00,65.985
742.00,65.987
743.00,65.874
744.00,65.844
745.00,65.746
746.00,65.784
747.00,65.706
748.00,65.659
749.00,65.504
750.00,65.530
751.00,65.469
752.00,65.478
753.00,65.316
754.00,65.255
755.00,65.309
756.00,65.313
757.00,65.276
758.00,65.208
759.00,65.163
760.00,65.060
761.00,64.897
762.00,64.830
763.00,64.813
764.00,64.930
765.00,64.888
766.00,64.875
767.00,64.705
768.00,64.564
769.00,64.526
770.00,64.428
771.00,64.448
772.00,64.364
773.00,64.274
774.00,64.249
775.00,64.124
776.00,64.091
777.00,64.028
778.00,64.064
779.00,64.104
780.00,64.099
781.00,64.027
782.00,63.903
783.00,64.011
784.00,64.057
785.00,64.116
786.00,63.789
787.00,63.610
788.00,63.528
789.00,63.650
790.00,63.684
791.00,63.665
792.00,63.552
793.00,63.501
794.00,63.360
795.00,63.290
796.00,63.117
797.00,63.193
798.00,63.169
799.00,63.391
800.00,63.468
801.00,63.635
802.00,63.474
803.00,63.337
804.00,63.262
805.00,63.309
806.00,63.273
807.00,63.163
808.00,63.161
809.00,63.128
810.00,63.127
811.00,62.954
812.00,62.921
813.00,62.803
814.00,62.998
815.00,62.843
816.00,62.924
817.00,62.715
818.00,62.893
819.00,62.655
820.00,62.683
821.00,62.502
822.00,62.482
823.00,62.474
824.00,62.531
825.00,62.679
826.00,62.646
827.00,62.542
828.00,62.305
829.00,62.215
830.00,62.236
831.00,62.283
832.00,62.229
833.00,62.285
834.00,62.175
835.00,62.200
836.00,61.993
837.00,62.108
838.00,62.150
839.00,62.104
840.00,62.111
841.00,61.910
842.00,61.856
843.00,61.842
844.00,61.921
845.00,62.063
846.00,61.861
847.00,61.798
848.00,61.685
849.00,61.695
850.00,61.667
851.00,61.621
852.00,61.632
853.00,61.588
854.00,61.575
855.00,61.523
856.00,61.452
857.00,61.424
858.00,61.458
859.00,61.468
860.00,61.466
861.00,61.418
862.00,61.381
863.00,61.229
864.00,61.217
865.00,61.222
866.00,61.225
867.00,61.156
868.00,61.072
869.00,61.106
870.00,61.059
871.00,61.003
872.00,60.999
873.00,61.021
874.00,61.070
875.00,61.014
876.00,60.969
877.00,60.961
878.00,60.953
879.00,60.945
880.00,60.904
881.00,60.890
882.00,60.924
883.00,60.873
884.00,60.870
885.00,60.774
886.00,60.731
887.00,60.697
888.00,60.709
889.00,60.742
890.00,60.692
891.00,60.586
892.00,60.557
893.00,60.544
894.00,60.591
895.00,60.547
896.00,60.531
897.00,60.492
898.00,60.492
899.00,60.438
900.00,60.390
901.00,60.380
902.00,60.372
903.00,60.397
904.00,60.412
905.00,60.411
906.00,60.388
907.00,60.372
908.00,60.329
909.00,60.340
910.00,60.260
911.00,60.241
912.00,60.192
913.00,60.138
914.00,60.149
915.00,60.109
916.00,60.137
917.00,60.076
918.00,60.087
919.00,60.054
920.00,60.049
921.00,60.043
922.00,59.990
923.00,60.008
924.00,59.988
925.00,60.000
926.00,59.949
927.00,59.875
928.00,59.963
929.00,60.015
930.00,59.990
931.00,59.897
932.00,59.816
933.00,59.867
934.00,59.808
935.00,59.783
936.00,59.742
937.00,59.725
938.00,59.750
939.00,59.726
940.00,59.747
941.00,59.752
942.00,59.733
943.00,59.736
944.00,59.659
945.00,59.672
946.00,59.675
947.00,59.695
948.00,59.727
949.00,59.654
950.00,59.639
951.00,59.581
952.00,59.578
953.00,59.595
954.00,59.580
955.00,59.616
956.00,59.577
957.00,59.596
958.00,59.553
959.00,59.518
960.00,59.499
961.00,59.465
962.00,59.476
963.00,59.460
964.00,59.463
965.00,59.478
966.00,59.434
967.00,59.438
968.00,59.433
969.00,59.437
970.00,59.457
971.00,59.383
972.00,59.411
973.00,59.400
974.00,59.369
975.00,59.333
976.00,59.273
977.00,59.299
978.00,59.267
979.00,59.241
980.00,59.248
981.00,59.211
982.00,59.223
983.00,59.173
984.00,59.179
985.00,59.178
986.00,59.182
987.00,59.193
988.00,59.135
989.00,59.135
990.00,59.134
991.00,59.136
992.00,59.152
993.00,59.084
994.00,59.089
995.00,59.060
996.00,59.013
997.00,59.011
998.00,58.947
999.00,59.021
1000.00,59.024
1001.00,59.054
1002.00,59.032
1003.00,58.965
1004.00,58.929
1005.00,58.874
1006.00,58.859
1007.00,58.825
1008.00,58.791
1009.00,58.811
1010.00,58.757
1011.00,58.755
1012.00,58.714
1013.00,58.736
1014.00,58.749
1015.00,58.682
1016.00,58.710
1017.00,58.678
1018.00,58.706
1019.00,58.691
1020.00,58.642
1021.00,58.654
1022.00,58.630
1023.00,58.652
1024.00,58.633
1025.00,58.561
1026.00,58.540
1027.00,58.480
1028.00,58.480
1029.00,58.499
1030.00,58.493
1031.00,58.515
1032.00,58.455
1033.00,58.439
1034.00,58.384
1035.00,58.337
1036.00,58.369
1037.00,58.343
1038.00,58.357
1039.00,58.346
1040.00,58.332
1041.00,58.345
1042.00,58.263
1043.00,58.290
1044.00,58.254
1045.00,58.243
1046.00,58.239
1047.00,58.190
1048.00,58.217
1049.00,58.164
1050.00,58.191
1051.00,58.181
1052.00,58.163
1053.00,58.179
1054.00,58.150
1055.00,58.173
1056.00,58.179
1057.00,58.160
1058.00,58.145
1059.00,58.049
1060.00,58.071
1061.00,58.094
1062.00,58.119
1063.00,58.117
1064.00,58.065
1065.00,58.072
1066.00,58.048
1067.00,58.023
1068.00,57.986
1069.00,57.924
1070.00,57.975
1071.00,57.992
1072.00,58.039
1073.00,58.022
1074.00,57.991
1075.00,57.993
1076.00,57.928
1077.00,57.897
1078.00,57.864
1079.00,57.849
1080.00,57.900
1081.00,57.880
1082.00,57.904
1083.00,57.872
1084.00,57.878
1085.00,57.877
1086.00,57.828
1087.00,57.790
1088.00,57.743
1089.00,57.742
1090.00,57.764
1091.00,57.770
1092.00,57.820
1093.00,57.809
1094.00,57.814
1095.00,57.786
1096.00,57.756
1097.00,57.769
1098.00,57.772
1099.00,57.788
1100.00,57.800
1101.00,57.767
1102.00,57.777
1103.00,57.701
1104.00,57.712
1105.00,57.733
1106.00,57.733
1107.00,57.722
1108.00,57.644
1109.00,57.693
1110.00,57.723
1111.00,57.739
1112.00,57.736
1113.00,57.723
1114.00,57.778
1115.00,57.755
1116.00,57.703
1117.00,57.655
1118.00,57.628
1119.00,57.664
1120.00,57.665
1121.00,57.712
1122.00,57.707
1123.00,57.682
1124.00,57.691
1125.00,57.660
1126.00,57.680
1127.00,57.629
1128.00,57.610
1129.00,57.614
1130.00,57.595
1131.00,57.592
1132.00,57.553
1133.00,57.549
1134.00,57.579
1135.00,57.577
1136.00,57.596
1137.00,57.577
1138.00,57.602
1139.00,57.644
1140.00,57.637
1141.00,57.678
1142.00,57.631
1143.00,57.644
1144.00,57.588
1145.00,57.581
1146.00,57.604
1147.00,57.556
1148.00,57.563
1149.00,57.587
1150.00,57.640
1151.00,57.658
1152.00,57.601
1153.00,57.623
1154.00,57.635
1155.00,57.645
1156.00,57.640
1157.00,57.625
1158.00,57.656
1159.00,57.693
1160.00,57.717
1161.00,57.740
1162.00,57.699
1163.00,57.691
1164.00,57.703
1165.00,57.727
1166.00,57.744
1167.00,57.671
1168.00,57.689
1169.00,57.639
1170.00,57.653
1171.00,57.638
1172.00,57.666
1173.00,57.672
1174.00,57.598
1175.00,57.569
1176.00,57.581
1177.00,57.624
1178.00,57.701
1179.00,57.681
1180.00,57.717
1181.00,57.661
1182.00,57.644
1183.00,57.600
1184.00,57.573
1185.00,57.602
1186.00,57.608
1187.00,57.591
1188.00,57.587
1189.00,57.551
1190.00,57.611
1191.00,57.570
1192.00,57.582
1193.00,57.552
1194.00,57.555
1195.00,57.567
1196.00,57.523
1197.00,57.512
1198.00,57.543
1199.00,57.558
1200.00,57.563
1201.00,57.468
1202.00,57.477
1203.00,57.479
1204.00,57.486
1205.00,57.498
1206.00,57.460
1207.00,57.478
1208.00,57.466
1209.00,57.510
1210.00,57.539
1211.00,57.500
1212.00,57.507
1213.00,57.477
1214.00,57.461
1215.00,57.445
1216.00,57.428
1217.00,57.488
1218.00,57.460
1219.00,57.483
1220.00,57.470
1221.00,57.453
1222.00,57.433
1223.00,57.356
1224.00,57.380
1225.00,57.375
1226.00,57.389
1227.00,57.409
1228.00,57.426
1229.00,57.510
1230.00,57.513
1231.00,57.497
1232.00,57.476
1233.00,57.442
1234.00,57.473
1235.00,57.410
1236.00,57.426
1237.00,57.402
1238.00,57.389
1239.00,57.388
1240.00,57.347
1241.00,57.395
1242.00,57.375
1243.00,57.339
1244.00,57.305
1245.00,57.229
1246.00,57.266
1247.00,57.258
1248.00,57.286
1249.00,57.281
1250.00,57.254
1251.00,57.279
1252.00,57.249
1253.00,57.260
1254.00,57.264
1255.00,57.260
1256.00,57.304
1257.00,57.272
1258.00,57.262
1259.00,57.234
1260.00,57.241
1261.00,57.283
1262.00,57.243
1263.00,57.210
1264.00,57.208
1265.00,57.206
1266.00,57.229
1267.00,57.187
1268.00,57.193
1269.00,57.212
1270.00,57.200
1271.00,57.252
1272.00,57.169
1273.00,57.221
1274.00,57.180
1275.00,57.216
1276.00,57.185
1277.00,57.177
1278.00,57.248
1279.00,57.254
1280.00,57.248
1281.00,57.241
1282.00,57.256
1283.00,57.299
1284.00,57.272
1285.00,57.267
1286.00,57.242
1287.00,57.187
1288.00,57.203
1289.00,57.170
1290.00,57.219
1291.00,57.206
1292.00,57.223
1293.00,57.235
1294.00,57.210
1295.00,57.219
1296.00,57.212
1297.00,57.239
1298.00,57.266
1299.00,57.244
1300.00,57.285
1301.00,57.261
1302.00,57.268
1303.00,57.241
1304.00,57.264
1305.00,57.355
1306.00,57.356
1307.00,57.345
1308.00,57.257
1309.00,57.243
1310.00,57.345
1311.00,57.387
1312.00,57.416
1313.00,57.368
1314.00,57.367
1315.00,57.448
1316.00,57.397
1317.00,57.380
1318.00,57.313
1319.00,57.348
1320.00,57.377
1321.00,57.375
1322.00,57.388
1323.00,57.445
1324.00,57.440
1325.00,57.500
1326.00,57.470
1327.00,57.573
1328.00,57.546
1329.00,57.561
1330.00,57.529
1331.00,57.530
1332.00,57.576
1333.00,57.623
1334.00,57.666
1335.00,57.714
1336.00,57.667
1337.00,57.705
1338.00,57.632
1339.00,57.702
1340.00,57.718
1341.00,57.771
1342.00,57.799
1343.00,57.775
1344.00,57.806
1345.00,57.811
1346.00,57.852
1347.00,57.869
1348.00,57.848
1349.00,57.883
1350.00,57.884
1351.00,57.884
1352.00,57.899
1353.00,57.957
1354.00,58.067
1355.00,58.066
1356.00,58.028
1357.00,58.020
1358.00,58.025
1359.00,58.082
1360.00,58.058
1361.00,58.002
1362.00,57.931
1363.00,57.852
1364.00,57.900
1365.00,57.910
1366.00,57.973
1367.00,58.068
1368.00,58.148
1369.00,58.182
1370.00,58.101
1371.00,58.184
1372.00,58.234
1373.00,58.327
1374.00,58.354
1375.00,58.410
1376.00,58.498
1377.00,58.533
1378.00,58.641
1379.00,58.698
1380.00,58.723
1381.00,58.681
1382.00,58.662
1383.00,58.632
1384.00,58.678
1385.00,58.673
1386.00,58.882
1387.00,58.884
1388.00,58.986
1389.00,58.907
1390.00,59.034
1391.00,59.081
1392.00,59.116
1393.00,59.153
1394.00,59.247
1395.00,59.261
1396.00,59.242
1397.00,59.138
1398.00,59.269
1399.00,59.321
1400.00,59.412
