"Tdif_PMMApaint_15vv - RawData"
"Wavelength nm.","T%"
614.00,9.387
615.00,9.387
616.00,9.401
617.00,9.389
618.00,9.410
619.00,9.406
620.00,9.419
621.00,9.411
622.00,9.420
623.00,9.428
624.00,9.441
625.00,9.439
626.00,9.446
627.00,9.446
628.00,9.457
629.00,9.456
630.00,9.457
631.00,9.459
632.00,9.458
633.00,9.460
634.00,9.480
635.00,9.486
636.00,9.502
637.00,9.476
638.00,9.481
639.00,9.481
640.00,9.502
641.00,9.510
642.00,9.508
643.00,9.514
644.00,9.521
645.00,9.523
646.00,9.533
647.00,9.518
648.00,9.520
649.00,9.503
650.00,9.519
651.00,9.527
652.00,9.533
653.00,9.535
654.00,9.538
655.00,9.549
656.00,9.564
657.00,9.562
658.00,9.551
659.00,9.544
660.00,9.551
661.00,9.554
662.00,9.558
663.00,9.572
664.00,9.598
665.00,9.605
666.00,9.604
667.00,9.595
668.00,9.583
669.00,9.589
670.00,9.603
671.00,9.605
672.00,9.593
673.00,9.585
674.00,9.584
675.00,9.584
676.00,9.591
677.00,9.602
678.00,9.611
679.00,9.603
680.00,9.610
681.00,9.608
682.00,9.605
683.00,9.608
684.00,9.608
685.00,9.621
686.00,9.626
687.00,9.640
688.00,9.638
689.00,9.631
690.00,9.625
691.00,9.623
692.00,9.617
693.00,9.640
694.00,9.647
695.00,9.664
696.00,9.657
697.00,9.647
698.00,9.642
699.00,9.636
700.00,9.654
701.00,9.663
702.00,9.660
703.00,9.654
704.00,9.639
705.00,9.661
706.00,9.666
707.00,9.668
708.00,9.646
709.00,9.659
710.00,9.667
711.00,9.674
712.00,9.678
713.00,9.679
714.00,9.683
715.00,9.658
716.00,9.668
717.00,9.681
718.00,9.668
719.00,9.687
720.00,9.652
721.00,9.684
722.00,9.667
723.00,9.674
724.00,9.683
725.00,9.686
726.00,9.692
727.00,9.668
728.00,9.666
729.00,9.682
730.00,9.703
731.00,9.708
732.00,9.696
733.00,9.689
734.00,9.691
735.00,9.691
736.00,9.697
737.00,9.695
738.00,9.716
739.00,9.711
740.00,9.691
741.00,9.660
742.00,9.661
743.00,9.665
744.00,9.669
745.00,9.651
746.00,9.656
747.00,9.660
748.00,9.664
749.00,9.690
750.00,9.718
751.00,9.729
752.00,9.722
753.00,9.710
754.00,9.714
755.00,9.709
756.00,9.708
757.00,9.708
758.00,9.656
759.00,9.655
760.00,9.647
761.00,9.652
762.00,9.648
763.00,9.648
764.00,9.683
765.00,9.690
766.00,9.722
767.00,9.735
768.00,9.719
769.00,9.686
770.00,9.672
771.00,9.677
772.00,9.670
773.00,9.673
774.00,9.687
775.00,9.660
776.00,9.657
777.00,9.660
778.00,9.703
779.00,9.712
780.00,9.681
781.00,9.654
782.00,9.632
783.00,9.664
784.00,9.714
785.00,9.733
786.00,9.707
787.00,9.642
788.00,9.631
789.00,9.633
790.00,9.670
791.00,9.698
792.00,9.723
793.00,9.731
794.00,9.694
795.00,9.727
796.00,9.692
797.00,9.721
798.00,9.711
799.00,9.757
800.00,9.736
801.00,9.690
802.00,9.678
803.00,9.676
804.00,9.671
805.00,9.632
806.00,9.635
807.00,9.665
808.00,9.683
