"Ttot_PMMA_1fv_CaCO3 - RawData"
"Wavelength nm.","T%"
614.00,78.118
615.00,78.104
616.00,78.071
617.00,78.086
618.00,78.086
619.00,78.114
620.00,78.075
621.00,78.091
622.00,78.044
623.00,78.078
624.00,78.064
625.00,78.121
626.00,78.080
627.00,78.007
628.00,77.976
629.00,77.962
630.00,77.975
631.00,77.944
632.00,77.932
633.00,77.989
634.00,77.960
635.00,78.001
636.00,77.979
637.00,77.984
638.00,77.972
639.00,77.898
640.00,77.928
641.00,77.922
642.00,77.889
643.00,77.834
644.00,77.726
645.00,77.753
646.00,77.831
647.00,77.891
648.00,77.964
649.00,77.896
650.00,77.858
651.00,77.795
652.00,77.796
653.00,77.832
654.00,77.835
655.00,77.777
656.00,77.738
657.00,77.651
658.00,77.682
659.00,77.669
660.00,77.752
661.00,77.694
662.00,77.750
663.00,77.695
664.00,77.738
665.00,77.705
666.00,77.763
667.00,77.754
668.00,77.747
669.00,77.671
670.00,77.600
671.00,77.566
672.00,77.545
673.00,77.558
674.00,77.544
675.00,77.553
676.00,77.546
677.00,77.514
678.00,77.570
679.00,77.660
680.00,77.706
681.00,77.689
682.00,77.653
683.00,77.688
684.00,77.659
685.00,77.644
686.00,77.519
687.00,77.481
688.00,77.408
689.00,77.354
690.00,77.305
691.00,77.328
692.00,77.313
693.00,77.386
694.00,77.321
695.00,77.420
696.00,77.309
697.00,77.357
698.00,77.388
699.00,77.440
700.00,77.367
701.00,77.305
702.00,77.291
703.00,77.319
704.00,77.283
705.00,77.269
706.00,77.289
707.00,77.294
708.00,77.316
709.00,77.338
710.00,77.247
711.00,77.224
712.00,77.089
713.00,77.191
714.00,77.133
715.00,77.194
716.00,77.204
717.00,77.099
718.00,77.132
719.00,76.973
720.00,77.076
721.00,77.016
722.00,76.981
723.00,76.974
724.00,76.964
725.00,77.093
726.00,77.174
727.00,77.143
728.00,77.042
729.00,76.909
730.00,76.829
731.00,76.876
732.00,76.899
733.00,76.999
734.00,76.982
735.00,76.884
736.00,76.800
737.00,76.767
738.00,76.694
739.00,76.790
740.00,76.715
741.00,76.759
742.00,76.644
743.00,76.675
744.00,76.615
745.00,76.496
746.00,76.535
747.00,76.595
748.00,76.637
749.00,76.565
750.00,76.540
751.00,76.501
752.00,76.525
753.00,76.509
754.00,76.503
755.00,76.491
756.00,76.549
757.00,76.540
758.00,76.451
759.00,76.399
760.00,76.309
761.00,76.412
762.00,76.379
763.00,76.491
764.00,76.412
765.00,76.292
766.00,76.340
767.00,76.165
768.00,76.241
769.00,76.163
770.00,76.326
771.00,76.204
772.00,76.127
773.00,76.107
774.00,76.284
775.00,76.298
776.00,76.222
777.00,76.135
778.00,76.146
779.00,76.156
780.00,76.235
781.00,76.349
782.00,76.336
783.00,76.351
784.00,76.305
785.00,76.262
786.00,76.240
787.00,76.288
788.00,76.371
789.00,76.260
790.00,76.016
791.00,75.866
792.00,75.872
793.00,76.101
794.00,76.353
795.00,76.425
796.00,76.321
797.00,76.263
798.00,76.094
799.00,76.018
800.00,75.759
801.00,75.877
802.00,75.904
803.00,76.093
804.00,76.012
805.00,75.970
806.00,75.846
807.00,75.842
808.00,75.747
809.00,75.597
810.00,75.446
811.00,75.599
812.00,75.892
813.00,76.060
814.00,76.016
815.00,75.737
816.00,75.608
817.00,75.438
818.00,75.677
819.00,75.530
820.00,75.641
821.00,75.398
822.00,75.609
823.00,75.615
824.00,75.764
825.00,75.626
826.00,75.353
827.00,75.151
828.00,75.353
829.00,75.537
830.00,75.122
831.00,74.393
832.00,73.791
833.00,73.765
834.00,73.767
835.00,73.815
836.00,73.799
837.00,73.719
838.00,73.752
839.00,73.640
840.00,73.686
841.00,73.552
842.00,73.620
843.00,73.653
844.00,73.699
845.00,73.754
846.00,73.669
847.00,73.678
848.00,73.530
849.00,73.557
850.00,73.498
851.00,73.497
852.00,73.499
853.00,73.500
854.00,73.588
855.00,73.548
856.00,73.533
857.00,73.463
858.00,73.488
859.00,73.490
860.00,73.469
861.00,73.363
862.00,73.289
863.00,73.240
864.00,73.363
865.00,73.355
866.00,73.447
867.00,73.404
868.00,73.440
869.00,73.453
870.00,73.440
871.00,73.429
872.00,73.387
873.00,73.285
874.00,73.327
875.00,73.309
876.00,73.393
877.00,73.408
878.00,73.380
879.00,73.387
880.00,73.295
881.00,73.310
882.00,73.323
883.00,73.384
884.00,73.402
885.00,73.235
886.00,73.276
887.00,73.329
888.00,73.428
889.00,73.361
890.00,73.217
891.00,73.273
892.00,73.276
893.00,73.329
894.00,73.256
895.00,73.227
896.00,73.227
897.00,73.192
898.00,73.152
899.00,73.188
900.00,73.286
901.00,73.306
902.00,73.238
903.00,73.229
904.00,73.241
905.00,73.237
906.00,73.240
907.00,73.226
908.00,73.211
909.00,73.221
910.00,73.246
911.00,73.304
912.00,73.242
913.00,73.233
914.00,73.211
915.00,73.188
916.00,73.229
917.00,73.210
918.00,73.257
919.00,73.241
920.00,73.270
921.00,73.337
922.00,73.300
923.00,73.281
924.00,73.196
925.00,73.193
926.00,73.198
927.00,73.141
928.00,73.093
929.00,73.011
930.00,73.002
931.00,73.017
932.00,73.025
933.00,73.081
934.00,73.113
935.00,73.189
936.00,73.184
937.00,73.132
938.00,73.103
939.00,73.083
940.00,73.122
941.00,73.154
942.00,73.140
943.00,73.172
944.00,73.143
945.00,73.195
946.00,73.175
947.00,73.184
948.00,73.208
949.00,73.198
950.00,73.230
951.00,73.191
952.00,73.193
953.00,73.201
954.00,73.237
955.00,73.264
956.00,73.219
957.00,73.151
958.00,73.118
959.00,73.108
960.00,73.130
961.00,73.128
962.00,73.119
963.00,73.167
964.00,73.142
965.00,73.183
966.00,73.149
967.00,73.203
968.00,73.212
969.00,73.256
970.00,73.313
971.00,73.294
972.00,73.299
973.00,73.301
974.00,73.299
975.00,73.268
976.00,73.230
977.00,73.283
978.00,73.273
979.00,73.286
980.00,73.294
981.00,73.296
982.00,73.274
983.00,73.233
984.00,73.249
985.00,73.230
986.00,73.142
987.00,73.134
988.00,73.113
989.00,73.198
990.00,73.197
991.00,73.183
992.00,73.115
993.00,73.069
994.00,73.111
995.00,73.178
996.00,73.169
997.00,73.162
998.00,73.106
999.00,73.122
1000.00,73.066
1001.00,73.082
1002.00,73.115
1003.00,73.078
1004.00,73.047
1005.00,72.980
1006.00,73.003
1007.00,73.002
1008.00,72.979
1009.00,72.991
1010.00,72.989
1011.00,73.028
1012.00,73.051
1013.00,73.039
1014.00,73.078
1015.00,73.082
1016.00,73.138
1017.00,73.108
1018.00,73.087
1019.00,73.080
1020.00,73.056
1021.00,73.083
1022.00,73.061
1023.00,73.095
1024.00,73.116
1025.00,73.067
1026.00,73.066
1027.00,73.025
1028.00,73.086
1029.00,73.104
1030.00,73.132
1031.00,73.144
1032.00,73.083
1033.00,73.066
1034.00,73.012
1035.00,73.007
1036.00,73.031
1037.00,73.046
1038.00,73.082
1039.00,73.078
1040.00,73.104
1041.00,73.119
1042.00,73.065
1043.00,73.061
1044.00,73.045
1045.00,73.062
1046.00,73.092
1047.00,73.097
1048.00,73.127
1049.00,73.156
1050.00,73.160
1051.00,73.184
1052.00,73.111
1053.00,73.120
1054.00,73.086
1055.00,73.084
1056.00,73.077
1057.00,73.063
1058.00,73.074
1059.00,73.066
1060.00,73.093
1061.00,73.062
1062.00,73.037
1063.00,73.046
1064.00,73.047
1065.00,73.063
1066.00,73.036
1067.00,73.034
1068.00,73.061
1069.00,73.045
1070.00,73.079
1071.00,73.069
1072.00,73.129
1073.00,73.176
1074.00,73.188
1075.00,73.175
1076.00,73.111
1077.00,73.102
1078.00,73.119
1079.00,73.134
1080.00,73.136
1081.00,73.115
1082.00,73.137
1083.00,73.135
1084.00,73.156
1085.00,73.178
1086.00,73.166
1087.00,73.133
1088.00,73.137
1089.00,73.156
1090.00,73.136
1091.00,73.062
1092.00,73.039
1093.00,73.046
1094.00,73.061
1095.00,73.075
1096.00,73.057
1097.00,73.061
1098.00,73.020
1099.00,73.035
1100.00,73.055
1101.00,73.032
1102.00,73.002
1103.00,72.991
1104.00,73.042
1105.00,73.125
1106.00,73.158
1107.00,73.242
1108.00,73.245
1109.00,73.316
1110.00,73.319
1111.00,73.337
1112.00,73.307
1113.00,73.290
1114.00,73.275
1115.00,73.255
1116.00,73.225
1117.00,73.227
1118.00,73.178
1119.00,73.195
1120.00,73.137
1121.00,73.137
1122.00,73.109
1123.00,73.098
1124.00,73.119
1125.00,73.100
1126.00,73.167
1127.00,73.222
1128.00,73.248
1129.00,73.291
1130.00,73.307
1131.00,73.372
1132.00,73.393
1133.00,73.427
1134.00,73.433
1135.00,73.374
1136.00,73.300
1137.00,73.272
1138.00,73.283
1139.00,73.306
1140.00,73.248
1141.00,73.241
1142.00,73.245
1143.00,73.257
1144.00,73.223
1145.00,73.154
1146.00,73.188
1147.00,73.236
1148.00,73.286
1149.00,73.346
1150.00,73.336
1151.00,73.389
1152.00,73.384
1153.00,73.432
1154.00,73.411
1155.00,73.389
1156.00,73.380
1157.00,73.393
